epoch,loss,answer_loss,aux_loss
1,6.408009600575765,3.342372459793091,3.065637140782674
2,4.601846687825521,2.676661214574178,1.9251854732513427
3,2.8692153703053793,1.8710735617319743,0.9981417990048727
4,1.4051686870892843,1.0594906992912292,0.3456779922246933
5,0.6440522297223409,0.5438035417079925,0.10024868719975154
6,0.36076392440795896,0.31826784977912903,0.042496075957020124
7,0.20195201920668285,0.18195476625760396,0.019997252090771994
8,0.13690882467428844,0.12237123440504075,0.014537590160965919
9,0.07871535746256511,0.07151566765904427,0.007199690293893218
10,0.050080113811294236,0.045926249031225844,0.004153864662038783
11,0.02929565838177999,0.026510696338613828,0.002784962121769786
12,0.01680131448407968,0.015471448073536157,0.0013298663855219881
13,0.0048328642475108305,0.004343302479510506,0.0004895617802161724
14,0.0021452230208863815,0.0018340882099544009,0.0003111348152005424
15,0.0015114326245461902,0.0012437444174662232,0.00026768820678504804
16,0.00129327545594424,0.001046852187346667,0.00024642326830265425
17,0.001208223334637781,0.000974819592696925,0.0002334037423832342
18,0.0011494938248147568,0.0009243196961159507,0.0002251741289937248
19,0.0011209098699192207,0.0008992934264242649,0.00022161644305257748
20,0.0011393324895141025,0.0009177960120141507,0.0002215364773524925
