target_id,run_id,truth,probability
r2_s14000_l1,2,1,0.7969924121779055
r2_s14000_l2,2,1,0.5186338559490425
r2_s14000_l3,2,0,0.19488982498042373
r2_s14000_l4,2,0,0.041177288113174615
r2_s14000_l6,2,0,0.03972133710248816
r2_s14000_l9,2,0,0.07756822985607383
r2_s14000_l10,2,1,0.6241044102927049
r2_s72000_l1,2,0,0.8578930056611621
r2_s72000_l2,2,0,0.47152528176387865
r2_s72000_l3,2,0,0.046957690496519267
r2_s72000_l7,2,0,0.16553145766792834
r2_s72000_l9,2,0,0.13629020045043846
r2_s72000_l10,2,1,0.6412407408577915
r2_s143000_l1,2,0,0.9202333489571334
r2_s143000_l2,2,0,0.28575762056721005
r2_s143000_l3,2,0,0.045605853607919494
r2_s143000_l4,2,0,0.030856200435750006
r2_s143000_l6,2,0,0.16074679336433778
r2_s143000_l9,2,0,0.04571119975235888
r2_s143000_l10,2,1,0.7360275984181914
r3_s14000_l1,3,1,0.7197802947596019
r3_s14000_l2,3,0,0.5340760383653355
r3_s14000_l3,3,0,0.523135519286232
r3_s14000_l4,3,0,0.1236238679155231
r3_s14000_l5,3,0,0.17283652056978907
r3_s14000_l8,3,0,0.2329691194225277
r3_s14000_l9,3,0,0.38059785096791704
r3_s14000_l10,3,0,0.8880437431226379
r3_s72000_l1,3,1,0.6288169123584975
r3_s72000_l2,3,0,0.653493162601486
r3_s72000_l3,3,0,0.1700344708513725
r3_s72000_l4,3,0,0.014024965847971079
r3_s72000_l5,3,0,0.016799578862251557
r3_s72000_l6,3,0,0.05400310828886536
r3_s72000_l8,3,0,0.16690572372723236
r3_s72000_l9,3,0,0.1080965551570052
r3_s72000_l10,3,1,0.8396946258835105
r3_s143000_l1,3,1,0.7206368993856189
r3_s143000_l2,3,0,0.6972882094529846
r3_s143000_l3,3,0,0.23974313407689513
r3_s143000_l4,3,0,0.05835513302869157
r3_s143000_l5,3,0,0.16598527157473345
r3_s143000_l8,3,1,0.3232224707447461
r3_s143000_l10,3,1,0.9413648378931935
r5_s14000_l1,5,1,0.6615165721904641
r5_s14000_l2,5,0,0.5291103787392145
r5_s14000_l3,5,0,0.6814525036194663
r5_s14000_l4,5,0,0.14184691128922636
r5_s14000_l8,5,0,0.41233180949455206
r5_s72000_l1,5,1,0.6937113272459458
r5_s72000_l2,5,0,0.4331912459690628
r5_s72000_l4,5,0,0.049612547147459274
r5_s72000_l6,5,0,0.01736785568491075
r5_s72000_l8,5,0,0.438764201421274
r5_s72000_l10,5,1,0.8248490369745154
r5_s143000_l1,5,1,0.7105913706139187
r5_s143000_l2,5,0,0.4717073337646195
r5_s143000_l4,5,0,0.11709959483687643
r5_s143000_l5,5,0,0.10500571471952895
r5_s143000_l6,5,0,0.03642351792261971
r5_s143000_l8,5,0,0.29521966242650116
r5_s143000_l9,5,0,0.23440317919350934
r5_s143000_l10,5,1,0.983529971284813
r6_s14000_l1,6,0,0.7922273551780794
r6_s14000_l2,6,0,0.4686238729440406
r6_s14000_l3,6,0,0.7370949330455961
r6_s14000_l4,6,0,0.3665489250593587
r6_s14000_l5,6,0,0.13875982971170578
r6_s14000_l8,6,0,0.14230109305806427
r6_s14000_l9,6,0,0.10312369725562297
r6_s72000_l1,6,1,0.7786565994385519
r6_s72000_l2,6,1,0.34204684294450904
r6_s72000_l3,6,0,0.5533560012154852
r6_s72000_l4,6,0,0.24670295417728796
r6_s72000_l5,6,0,0.03631148734072891
r6_s72000_l6,6,0,0.009878299816322975
r6_s72000_l9,6,0,0.10479421358447695
r6_s143000_l1,6,1,0.7526209724163612
r6_s143000_l2,6,1,0.16539704071457004
r6_s143000_l3,6,1,0.10859724374486394
r6_s143000_l4,6,0,0.49567267842073337
r6_s143000_l5,6,0,0.09300052627281805
r6_s143000_l8,6,0,0.15472218509393948
r6_s143000_l9,6,0,0.42993979012417205
r8_s14000_l1,8,0,0.7886208773898268
r8_s14000_l2,8,0,0.46834725869183547
r8_s14000_l4,8,0,0.31579884558141896
r8_s14000_l6,8,0,0.11822889361724997
r8_s14000_l9,8,0,0.07068279089250672
r8_s72000_l1,8,1,0.7436736994220428
r8_s72000_l2,8,0,0.5736352953472766
r8_s72000_l4,8,0,0.2546352555079262
r8_s72000_l5,8,0,0.06988013071435151
r8_s72000_l7,8,0,0.07556722769631424
r8_s72000_l9,8,0,0.06440396715262312
r8_s143000_l1,8,1,0.7338272407971669
r8_s143000_l2,8,0,0.6393952258699293
r8_s143000_l4,8,0,0.09460191895392416
r8_s143000_l5,8,0,0.13721003639478582
r8_s143000_l6,8,0,0.0884750930349281
r8_s143000_l7,8,0,0.15454746096023295
r8_s143000_l9,8,0,0.11440909633721381
r8_s143000_l10,8,1,0.8333052604908336
