target_id,run_id,truth,probability
r2_s14000_l1,2,1,0.7084767694939856
r2_s14000_l2,2,1,0.5988486099893828
r2_s14000_l3,2,0,0.21568972213745932
r2_s14000_l4,2,0,0.020110003273104794
r2_s14000_l6,2,0,0.038148687879834456
r2_s14000_l9,2,0,0.02530653900738419
r2_s14000_l10,2,1,0.55066260452513
r2_s72000_l1,2,0,0.8139962197656403
r2_s72000_l2,2,0,0.5668617529946027
r2_s72000_l3,2,0,0.267774095817765
r2_s72000_l7,2,0,0.2724823934444432
r2_s72000_l9,2,0,0.09814794374184824
r2_s72000_l10,2,1,0.6334329088879037
r2_s143000_l1,2,0,0.894441898723758
r2_s143000_l2,2,0,0.47731651713895595
r2_s143000_l3,2,0,0.1903070043514589
r2_s143000_l4,2,0,0.24850908589491946
r2_s143000_l6,2,0,0.2576303095678476
r2_s143000_l9,2,0,0.21407905949549771
r2_s143000_l10,2,1,0.570605149462261
r3_s14000_l1,3,1,0.6982514104003539
r3_s14000_l2,3,0,0.5174364402439529
r3_s14000_l3,3,0,0.29739921016405396
r3_s14000_l4,3,0,0.07164019175894892
r3_s14000_l5,3,0,0.09788717893169109
r3_s14000_l8,3,0,0.1856125865827699
r3_s14000_l9,3,0,0.11352827657254906
r3_s14000_l10,3,0,0.817759988975856
r3_s72000_l1,3,1,0.747026806533913
r3_s72000_l2,3,0,0.5396036699145765
r3_s72000_l3,3,0,0.3945676394703091
r3_s72000_l4,3,0,0.057690763560725555
r3_s72000_l5,3,0,0.08351685581772621
r3_s72000_l6,3,0,0.08225804824392345
r3_s72000_l8,3,0,0.19578363451085437
r3_s72000_l9,3,0,0.21998168666284132
r3_s72000_l10,3,1,0.8230487995691007
r3_s143000_l1,3,1,0.6973809531847959
r3_s143000_l2,3,0,0.5624852643186687
r3_s143000_l3,3,0,0.4778674819491455
r3_s143000_l4,3,0,0.16268905427170777
r3_s143000_l5,3,0,0.25067333193810126
r3_s143000_l8,3,1,0.5268370027802737
r3_s143000_l10,3,1,0.8498908860873463
r5_s14000_l1,5,1,0.5687996335407834
r5_s14000_l2,5,0,0.5516541560530018
r5_s14000_l3,5,0,0.4514631399380415
r5_s14000_l4,5,0,0.13677687412132958
r5_s14000_l8,5,0,0.32289892017021415
r5_s72000_l1,5,1,0.5906567588192044
r5_s72000_l2,5,0,0.5277300627075129
r5_s72000_l4,5,0,0.16289546224906457
r5_s72000_l6,5,0,0.13454788819784186
r5_s72000_l8,5,0,0.495807536894766
r5_s72000_l10,5,1,0.840468847312803
r5_s143000_l1,5,1,0.6764613465345668
r5_s143000_l2,5,0,0.5984116741899317
r5_s143000_l4,5,0,0.22176027085061187
r5_s143000_l5,5,0,0.2790809330012872
r5_s143000_l6,5,0,0.33080261016050205
r5_s143000_l8,5,0,0.511741396872368
r5_s143000_l9,5,0,0.299199169956935
r5_s143000_l10,5,1,0.877880486049437
r6_s14000_l1,6,0,0.7912924723074142
r6_s14000_l2,6,0,0.48525536623154814
r6_s14000_l3,6,0,0.5163984675940458
r6_s14000_l4,6,0,0.19737608530604675
r6_s14000_l5,6,0,0.13232833724157145
r6_s14000_l8,6,0,0.066615240658676
r6_s14000_l9,6,0,0.11892564372750011
r6_s72000_l1,6,1,0.7869815624251834
r6_s72000_l2,6,1,0.41766235644417665
r6_s72000_l3,6,0,0.46733340981532623
r6_s72000_l4,6,0,0.4384509991173946
r6_s72000_l5,6,0,0.06830802805004192
r6_s72000_l6,6,0,0.052118517245371435
r6_s72000_l9,6,0,0.16173363743556438
r6_s143000_l1,6,1,0.7371430626644564
r6_s143000_l2,6,1,0.19210969334885694
r6_s143000_l3,6,1,0.09743148705038418
r6_s143000_l4,6,0,0.827524417316594
r6_s143000_l5,6,0,0.053188245893616634
r6_s143000_l8,6,0,0.477902642752723
r6_s143000_l9,6,0,0.6263925700823941
r8_s14000_l1,8,0,0.7939069367836168
r8_s14000_l2,8,0,0.3804101408458286
r8_s14000_l4,8,0,0.11681786410332497
r8_s14000_l6,8,0,0.040083041480760286
r8_s14000_l9,8,0,0.08215923459458938
r8_s72000_l1,8,1,0.6864500583109218
r8_s72000_l2,8,0,0.5225129247775828
r8_s72000_l4,8,0,0.17567837297603137
r8_s72000_l5,8,0,0.12652163864159185
r8_s72000_l7,8,0,0.16866251193718856
r8_s72000_l9,8,0,0.18168618480226248
r8_s143000_l1,8,1,0.7570485306289179
r8_s143000_l2,8,0,0.6079470821737767
r8_s143000_l4,8,0,0.08809882506860284
r8_s143000_l5,8,0,0.229289987328035
r8_s143000_l6,8,0,0.16815349325511084
r8_s143000_l7,8,0,0.5206405411754336
r8_s143000_l9,8,0,0.18317296719434373
r8_s143000_l10,8,1,0.8879255461720768
