experiment,magnitude_definition,run_id,stage,step,high_layer,high_alpha,low_layer,low_alpha,high_top1_damage,low_top1_damage,directional_ds_contrast,high_kl,low_kl,absolute_kl_gap,high_nll_damage,low_nll_damage,absolute_nll_gap,high_magnitude,low_magnitude,magnitude_log_gap,magnitude_ratio,match_score
A,activation_relative_magnitude,1,pilot,14000,9,1.0,7,1.0,0.2810329861111111,0.2309027777777778,0.050130208333333315,0.2859085847934087,0.15811669826507568,0.127791886528333,0.28734151522318524,0.15165130297342921,0.13569021224975603,0.3767294552591112,0.3772928516070048,0.0014943760883716576,1.001495493224723,0.014401162754746132
A,activation_relative_magnitude,1,pilot,14000,9,0.75,7,0.75,0.20486111111111108,0.16753472222222224,0.03732638888888884,0.14467495679855347,0.07882704668574862,0.06584791011280484,0.1436098681555853,0.0722596910264756,0.0713501771291097,0.28254708647727966,0.2829697198337979,0.0014946803719513434,1.0014957979634032,0.015023795080076912
A,activation_relative_magnitude,1,pilot,14000,1,1.0,6,1.0,0.3023003472222222,0.2942708333333333,0.008029513888888895,0.3358679711818695,0.2526576370000839,0.08321033418178558,0.3489034175872803,0.2912422551049126,0.05766116248236769,0.41420129603809785,0.40921712583965725,0.012106192767020144,1.0121797693295798,0.12618678164900446
A,activation_relative_magnitude,1,pilot,14000,1,0.75,6,0.75,0.21896701388888892,0.21788194444444442,0.001085069444444503,0.15964497874180475,0.11706086248159409,0.042584116260210664,0.1678769323560926,0.1417726145850288,0.026104317771063812,0.310650775829951,0.3069126572873857,0.012106170788889497,1.0121797470837608,0.1265928132323836
A,activation_relative_magnitude,1,pilot,14000,4,1.0,5,1.0,0.2938368055555555,0.2536892361111111,0.04014756944444442,0.29371902843316394,0.2070154315895504,0.08670359684361353,0.3382537364959717,0.2544970247480604,0.08375671174791127,0.39043527841567993,0.38453959094153506,0.015215464267428801,1.0153318087734724,0.15877450807928964
A,activation_relative_magnitude,1,pilot,14000,4,0.75,5,0.75,0.20724826388888887,0.18098958333333334,0.026258680555555525,0.14151985115475127,0.10127059370279312,0.04024925745195815,0.17076857884724936,0.13426383336385092,0.03650474548339844,0.2928263478808933,0.28840457730823094,0.015215487298069867,1.0153318321572151,0.15923929311204385
A,activation_relative_magnitude,1,pilot,14000,3,0.75,10,1.0,0.3157552083333333,0.3003472222222222,0.015407986111111105,0.36771597133742434,0.2794322636392381,0.08828370769818622,0.4123511844211154,0.2844424512651231,0.12790873315599233,0.3699363205167982,0.3760856356885698,0.016485987833800567,1.0166226316009768,0.17208911479265962
A,activation_relative_magnitude,1,pilot,14000,10,0.75,8,0.75,0.216796875,0.18077256944444445,0.03602430555555555,0.14539105693499246,0.08778051783641179,0.057610539098580674,0.14863093694051108,0.08871944745381673,0.05991148948669435,0.2820640239450667,0.2578163511223263,0.08988656633166865,1.0940501745416278,0.9425190237569059
A,activation_relative_magnitude,1,pilot,72000,2,1.0,6,1.0,0.3600260416666667,0.30729166666666663,0.052734375000000056,0.5410904354519314,0.3358409537209405,0.20524948173099083,0.5363554689619275,0.3496826224856906,0.18667284647623694,0.4531982309288449,0.45256858070691425,0.0013903144060189183,1.0013912813411554,0.012534765524379526
A,activation_relative_magnitude,1,pilot,72000,2,0.75,6,0.75,0.22873263888888887,0.20963541666666666,0.01909722222222221,0.19355638490782845,0.15202542146046957,0.041530963447358876,0.17991092469957146,0.15880258878072104,0.02110833591885042,0.3398987584643894,0.33942631549305385,0.0013909189153027363,1.0013918866916647,0.014178293254098655
